img,carpal,middle,right,left
10474.png,"[0.3317972350230415, 0.8429926238145415]","[0.533026113671275, 0.06111696522655427]","[0.9493087557603687, 0.4362486828240253]","[0.0522273425499232, 0.23709167544783985]"
10676.png,"[0.5414438502673796, 0.7830188679245284]","[0.47459893048128343, 0.10167714884696016]","[0.8743315508021391, 0.34905660377358494]","[0.10962566844919787, 0.34905660377358494]"
10675.png,"[0.42265795206971674, 0.7297734627831716]","[0.4705882352941177, 0.03883495145631068]","[0.971677559912854, 0.43527508090614886]","[0.08061002178649238, 0.25080906148867316]"
10674.png,"[0.40751043115438107, 0.8514344262295082]","[0.5771905424200279, 0.13831967213114754]","[0.8873435326842838, 0.44877049180327866]","[0.2614742698191933, 0.27151639344262296]"
10673.png,"[0.5073746312684366, 0.7185697808535179]","[0.4513274336283186, 0.06689734717416379]","[0.8407079646017699, 0.28604382929642447]","[0.18289085545722714, 0.27220299884659743]"
10672.png,"[0.34160305343511455, 0.6666666666666667]","[0.6431297709923665, 0.1402002861230329]","[0.8492366412213741, 0.5236051502145923]","[0.333969465648855, 0.21602288984263232]"
10671.png,"[0.41333333333333333, 0.7629255989911727]","[0.43866666666666665, 0.058007566204287514]","[0.8706666666666666, 0.4514501891551072]","[0.16, 0.25598991172761665]"
10670.png,"[0.44266666666666665, 0.775950668036999]","[0.48266666666666663, 0.13874614594039053]","[0.812, 0.38643371017471734]","[0.19466666666666665, 0.29804727646454265]"
10669.png,"[0.5092936802973977, 0.713103448275862]","[0.49814126394052044, 0.04827586206896552]","[0.8736059479553903, 0.32689655172413795]","[0.20446096654275092, 0.24413793103448278]"
10668.png,"[0.4169184290030211, 0.7245804540967424]","[0.595166163141994, 0.0384995064165844]","[0.9441087613293051, 0.3622902270483712]","[0.20090634441087613, 0.16288252714708787]"
10666.png,"[0.45866666666666667, 0.8127802690582959]","[0.544, 0.20291479820627803]","[0.9186666666666666, 0.5885650224215246]","[0.2733333333333333, 0.3486547085201794]"
10665.png,"[0.44266666666666665, 0.8296568627450981]","[0.52, 0.09803921568627452]","[0.9653333333333333, 0.5392156862745098]","[0.14133333333333334, 0.30637254901960786]"
10664.png,"[0.5352941176470588, 0.7008281573498966]","[0.5450980392156862, 0.11387163561076605]","[0.9215686274509803, 0.3146997929606625]","[0.28431372549019607, 0.2556935817805383]"
10663.png,"[0.5340909090909091, 0.740521327014218]","[0.4935064935064935, 0.1883886255924171]","[0.9285714285714286, 0.4419431279620853]","[0.17207792207792205, 0.38388625592417064]"
10662.png,"[0.5506666666666667, 0.7167277167277167]","[0.4666666666666666, 0.12087912087912088]","[0.9466666666666668, 0.4810744810744811]","[0.21866666666666668, 0.3772893772893773]"
10661.png,"[0.44, 0.7714285714285714]","[0.52, 0.052571428571428575]","[0.8786666666666666, 0.4057142857142857]","[0.184, 0.24571428571428572]"
10660.png,"[0.5063752276867031, 0.7930513595166162]","[0.5555555555555556, 0.0120845921450151]","[0.9034608378870673, 0.33987915407854985]","[0.23679417122040072, 0.2054380664652568]"
10659.png,"[0.4371345029239766, 0.7821670428893905]","[0.4912280701754386, 0.07336343115124153]","[0.8903508771929824, 0.3803611738148984]","[0.15350877192982457, 0.25395033860045146]"
10658.png,"[0.5231788079470199, 0.9047619047619048]","[0.4718543046357616, 0.08928571428571429]","[0.8609271523178808, 0.3869047619047619]","[0.24006622516556292, 0.2738095238095238]"
10657.png,"[0.45319148936170217, 0.709251101321586]","[0.47659574468085103, 0.029368575624082228]","[0.9574468085106383, 0.33480176211453744]","[0.15531914893617021, 0.20998531571218795]"
10656.png,"[0.49333333333333335, 0.8053993250843645]","[0.5253333333333333, 0.022497187851518562]","[0.9466666666666668, 0.36895388076490443]","[0.21333333333333332, 0.20584926884139482]"
10655.png,"[0.44460028050490885, 0.8472622478386167]","[0.47685834502103785, 0.08357348703170028]","[0.9256661991584854, 0.5533141210374639]","[0.17251051893408134, 0.3184438040345821]"
10654.png,"[0.4684014869888476, 0.6644021739130435]","[0.4052044609665428, 0.058423913043478264]","[0.9591078066914498, 0.41983695652173914]","[0.09293680297397769, 0.2703804347826087]"
10653.png,"[0.43200000000000005, 0.692817679558011]","[0.4733333333333334, 0.11160220994475138]","[0.86, 0.4298342541436464]","[0.16533333333333336, 0.28066298342541435]"
10652.png,"[0.42, 0.9095074455899198]","[0.5373333333333333, 0.18900343642611683]","[0.9640000000000001, 0.6219931271477663]","[0.16533333333333336, 0.36082474226804123]"
10651.png,"[0.5298507462686568, 0.8495440729483283]","[0.49253731343283585, 0.05623100303951368]","[0.8824626865671642, 0.3358662613981763]","[0.24626865671641793, 0.25835866261398177]"
10650.png,"[0.49854227405247814, 0.8478260869565217]","[0.532069970845481, 0.12888198757763975]","[0.9693877551020408, 0.7096273291925467]","[0.24635568513119532, 0.3322981366459627]"
10648.png,"[0.4637883008356546, 0.7881462799495587]","[0.5013927576601671, 0.05044136191677175]","[0.8551532033426185, 0.3619167717528373]","[0.12813370473537605, 0.29003783102143754]"
10647.png,"[0.42647058823529416, 0.8223583460949464]","[0.5257352941176471, 0.039816232771822356]","[0.9448529411764706, 0.4670750382848392]","[0.13970588235294118, 0.2879019908116386]"
10646.png,"[0.6057692307692308, 0.7430340557275542]","[0.5423076923076924, 0.0634674922600619]","[0.9346153846153846, 0.369969040247678]","[0.16923076923076924, 0.2739938080495356]"
10645.png,"[0.41134751773049644, 0.7101096224116931]","[0.5872340425531914, 0.18635809987819735]","[0.7205673758865249, 0.4323995127892814]","[0.42836879432624114, 0.2862362971985384]"
10644.png,"[0.4078740157480315, 0.7424083769633508]","[0.5511811023622047, 0.12146596858638743]","[0.9322834645669292, 0.4261780104712042]","[0.14960629921259844, 0.2858638743455498]"
10643.png,"[0.456, 0.7123430962343096]","[0.4613333333333333, 0.18305439330543932]","[0.8453333333333333, 0.49163179916317995]","[0.196, 0.34937238493723854]"
10642.png,"[0.5495495495495496, 0.7924050632911392]","[0.6720720720720721, 0.13924050632911392]","[0.9459459459459459, 0.40506329113924056]","[0.4018018018018018, 0.2949367088607595]"
10641.png,"[0.4653333333333333, 0.7880794701986755]","[0.44266666666666665, 0.06181015452538631]","[0.8906666666666666, 0.37086092715231783]","[0.09866666666666667, 0.28697571743929357]"
10640.png,"[0.5304212168486739, 0.7664473684210527]","[0.47737909516380655, 0.08881578947368421]","[0.8783151326053041, 0.4835526315789474]","[0.17004680187207488, 0.34375]"
10639.png,"[0.41206896551724137, 0.8020989505247377]","[0.44310344827586207, 0.03148425787106446]","[0.9362068965517242, 0.4497751124437781]","[0.0810344827586207, 0.2608695652173913]"
10638.png,"[0.62, 0.832089552238806]","[0.42533333333333334, 0.1181592039800995]","[0.8893333333333334, 0.3681592039800995]","[0.15066666666666667, 0.4465174129353234]"
10637.png,"[0.3805668016194332, 0.7788595271210014]","[0.4210526315789474, 0.05702364394993045]","[0.9048582995951416, 0.3588317107093185]","[0.0951417004048583, 0.2559109874826147]"
10636.png,"[0.4186746987951807, 0.7162303664921466]","[0.3885542168674699, 0.02827225130890052]","[0.9126506024096386, 0.34659685863874345]","[0.03915662650602409, 0.206282722513089]"
